text,newspaper,country,date,auhtor
"Elon Musk's Tesla has denied claims that it fired employees who chose to stay at home due to COVID-19 concerns. Tesla added it had waived its attendance policy for several weeks after obtaining permission to reopen factories and offered staff ""a window of time to stay home no questions asked"". Earlier, it was reported that Tesla had fired three employees.",inshort,india,2020-07-06,
"Researchers have presented a controller they say can help four-legged robots with line walking. They tested the capabilities of the controller in a simulation involving a 90 kilograms quadruped robot, having four centimetres diameter foot sphere, crossing a bridge having six centimetres width. The robot balanced on two feet while moving along the narrow line.",inshort,india,2020-07-06,
"Brazil's central bank President Roberto Campos Neto has said WhatsApp's payment service will have to prove it can operate safely in terms of data protection in a competitive market. He noted that since the service would be used by 120 million users, it requires a thorough analysis. Earlier, the bank had suspended the service a week after its rollout.",inshort,india,2020-07-06,
"The NPCI will set up a Smart Data Center in Hyderabad with an investment of ₹500 crore. The center will host major services under the Digital India initiatives. It will make Hyderabad one of the major hubs for processing payments with the total value of transactions at about ₹15 lakh crore with  4,000 million transactions a month.",inshort,india,2020-07-06,
"Sunil Mittal's Bharti Enterprises, along with the UK government, will acquire the bankrupt internet satellite startup OneWeb for $1 billion. Under the deal, Britain will invest $500 million and take a ""significant equity share"", while Bharti will invest the same and provide ""commercial and operational leadership"". The deal is subject to a US court approval and regulatory clearances.",inshort,india,2020-07-06,
"Six of Canada's biggest banks have joined Facebook ads boycott campaign over hate speech. Royal Bank of Canada, Toronto-Dominion Bank, Bank of Nova Scotia, Bank of Montreal, National Bank of Canada and Canadian Imperial Bank of Commerce will be pausing advertising on Facebook platforms in July. Canada's Desjardins Group will also pause advertising in July ""barring any exceptional situations"".",inshort,india,2020-07-06,
"Google has fixed the issue with Gmail spam filter that let promotional emails and spam to enter users' primary inbox, Android Police reported. Google said that while the issue went on, scans to filter malware, egregious spam and harmful content remained fully operational. It added features like link protections and download time security scans for inbox messages also stayed intact.",inshort,india,2020-07-06,
"Two Nigerian nationals Ramon Olorunwa Abbas and Olalekan Jacob Ponle, expelled from UAE, will face charges in the US for online fraud and money laundering worth millions of dollars. Abbas allegedly helped in planning to launder nearly $140 million from institutions and firms. Meanwhile, Ponle was allegedly involved in many fraud campaigns in 2019 worth ""tens of millions of dollars"".",inshort,india,2020-07-06,
"Instagram is testing its short-video feature, 'Reels', in India, Business Insider reported. The feature lets users record 15-second videos with music and audio clips and add them to their stories. ""We're planning to start testing an updated version of Reels in more countries...No further plans to share on launch date or countries for now,"" a Facebook spokesperson told Business Insider.
",inshort,india,2020-07-06,
"Apple has removed 4,500 mobile games from the Chinese App Store in three days, amid changes in the licence agreements. Developers and publishers will now require a proper government licence to release mobile games and apps on the App Store. China approves about 1,500 game licences every year which takes about six months to a year to be completed.
",inshort,india,2020-07-06,
IIT-Roorkee researchers claim to have developed a real-time defogging system that would help cars drive safely amid fog and prevent accidents. Researchers used several standard foggy datasets containing a variety of fogs from light to dense. The system aims to produce clear image from the foggy frame inputs it receives. It also uses a flicker reduction technique.,inshort,india,2020-07-06,
"Create monitoring dashboards with SSH, command-line tools, and Node-RED.",linux,USA,2020-07-06,
Several leading Linux distributions are taking steps to address the challenges of the COVID-19 pandemic.,linux,USA,2020-07-06,
"With OpenCart, a free, open source e-commerce system, you can put a store online in a matter of minutes.",linux,USA,2020-07-06,
"Offering a lean desktop, theShell demonstrates what an easy-to-use interface can look like if you think beyond outdated conventions.",linux,USA,2020-07-06,
"With the new release of openSUSE Leap comes some exciting new features, including machine learning.",linux,USA,2020-07-06,
"Security by design not only makes for a securer system, it also provides a better understanding of how your Linux system is constructed. Here are 10 of the most common security by design principles.",linux,USA,2020-07-06,
Google’s answer to Apple’s AirDrop feature is rumored to work with the Linux desktop.,linux,USA,2020-07-06,
The new System76 Serval WS includes a powerful AMD Ryzen CPU.,linux,USA,2020-07-06,
"Maddog examines the complicated relationships between laptop manufacturers, computer stores, and Linux users.",linux,USA,2020-07-06,
"With LibreOffice Writer and Calibre, you can publish your own ebooks with better results than most online conversion tools.",linux,USA,2020-07-06,
"This month Zack discusses adapting to COVID-19, and l33t security.",linux,USA,2020-07-06,
Looking for software to help you manage your money? The personal finance program KMyMoney can help you track income and expenses and better plan your financial future.,linux,USA,2020-07-06,
Ubuntu 20.04 Desktop and Fedora 32,linux,USA,2020-07-06,
This month in Linux Voice.,linux,USA,2020-07-06,
UK Linux Jobs,linux,USA,2020-07-06,
"The TraceTogether Token is designed to make an app more effective, but worries privacy campaigners.",bbc_tech,Uk,2020-07-06,
"A father who paid £4.99 for his daughter to use a smartphone app was shocked to find a £4,642 bill.",bbc_tech,Uk,2020-07-06,
Big brands are now joining an ad boycott in a protest against hate on the platform.,bbc_tech,Uk,2020-07-06,
The social media platform along with JPMorgan are the latest firms to address their internal language.,bbc_tech,Uk,2020-07-06,
"Streaming platform Twitch said it was ""devastated"" at the loss of a ""streaming pioneer"".",bbc_tech,Uk,2020-07-06,
"Picnic's machine is able to put together 300 pizzas an hour, but can a human make something tastier?",bbc_tech,Uk,2020-07-06,
"Extremists have found a home on Tiktok, and the platform is working out what to do about it.",bbc_tech,Uk,2020-07-06,
Arrivals from Germany and Italy will also no longer need to isolate on either leg of the journey.,bbc_bussiness,Uk,2020-07-06,
The UK helps rescue company from bankruptcy as part of a plan to replace the EU's Galileo sat-nav system.,bbc_bussiness,Uk,2020-07-06,
Travel insurance is unlikely to cover those who have to cancel a holiday because they have Covid symptoms.,bbc_bussiness,Uk,2020-07-06,
The ex-soldier and his son are held in the US for allegedly helping the ex-Nissan boss flee Japan.,bbc_bussiness,Uk,2020-07-06,
Air France-KLM plans thousands of job cuts at its French arm as the air industry reels from the pandemic.,bbc_bussiness,Uk,2020-07-06,
The review follows a fresh wave of calls to scrap a team name long-criticised as racist.,bbc_bussiness,Uk,2020-07-06,
Britain’s biggest supermarket has reportedly given suppliers until 10 July to agree price cuts.,bbc_bussiness,Uk,2020-07-06,
There's a partial penumbral eclipse on tap for the US on the night of July 4 and morning of July 5.,cnet,worldwide,2020-07-06,
A space rock reportedly causes a sonic boom as it crashes into our atmosphere over Japan.,cnet,worldwide,2020-07-06,
Meet a legless caecilian with a funky mouth that may hide a venomous secret.,cnet,worldwide,2020-07-06,
"In today's top stories, Facebook and Instagram are pushing information around wearing a mask amid COVID-19, Apple Card holders can now do their banking online and it turns out your dog may not be as old as you think -- in human years, at least.",cnet,worldwide,2020-07-06,
"NASA has never discovered life on the red planet, but one man says they're hiding the truth -- and he believes he has evidence to prove it.",cnet,worldwide,2020-07-06,
Vaccines to prevent COVID-19 are being developed at a record pace. We tell you everything you need to know about the progress we've made against the potentially fatal disease.,cnet,worldwide,2020-07-06,
NASA's Vehicle Assembly Building in Florida is getting dressed up with 500 gallons of new paint.,cnet,worldwide,2020-07-06,
The yawning void known as J2157 eats stars like ours for breakfast. Perhaps every breakfast.,cnet,worldwide,2020-07-06,
ALMA and Hubble teamed up for a festive view of a star cluster just in time for July 4.,cnet,worldwide,2020-07-06,
Forget seven years for every calendar year. Your pet's genes tell a different story of aging.,cnet,worldwide,2020-07-06,
"So far, an ongoing investigation has found no evidence of poaching.",cnet,worldwide,2020-07-06,
Idaho and Montana are out of this world.,cnet,worldwide,2020-07-06,
,cnet,worldwide,2020-07-06,
"When it launched, COVIDSafe was marketed as Australia's ticket out of lockdown, but were we focused on the wrong thing?",abc,australia,2020-07-06,
Documents from Home Affairs reveal how social media posts are routinely used by immigration officials to challenge an applicant's identity and claim for protection.,abc,australia,2020-07-06,
These steps will help you dull the impact and limit the reach of racist content in your social media feeds.,abc,australia,2020-07-06,
"Members of the misogynistic 4chan community pretended to be women shaving their heads for racial equality, using photographs they stole from the internet.",abc,australia,2020-07-06,
"Attackers may have financial motives when it comes to traditional cyber crime, but for nation states, stealing information also has great value.",abc,australia,2020-07-06,
"When Lauren Dry heard that facial recognition cameras were being trialled in the suburb of East Perth, she thought it was a joke. But trials have been conducted in every state and territory in Australia.",abc,australia,2020-07-06,
"This weekend kicks off a stellar month of night sky watching, with a lovely full Moon lining up with Jupiter and Saturn.",abc,australia,2020-07-06,
"International travel restrictions and social distancing did not put a dampener on the wedding plans of a young couple from Australia and Indonesia, even while physically separated by thousands of kilometres.",abc,australia,2020-07-06,
"It mightn't look like much, but this patch of scrubland is described as the ""most incredible treasure chest in the world"" as it is home to the oldest known mineral grains on Earth.",abc,australia,2020-07-06,
A proposed partially State Government-funded rocket launch site will have to prove a low impact on surrounding wetlands and reef.,abc,australia,2020-07-06,
Indigenous users of dating apps say they're deemed less attractive and abused by other users because of their race.,abc,australia,2020-07-06,
"From July 1 Australians now have the right to ""decent"" internet speeds under new federal laws — whether you live in the city or the outback.",abc,australia,2020-07-06,
MORNING BRIEFING: Lawyers are firming up a class action against Anglicare after 19 residents died at its Newmarch House nursing home and Woolworths is fined $1 million for spamming customers with marketing emails.,abc,australia,2020-07-06,
"It is one of the most remarkable fossil deposits in the world, but until now it has been Murgon's ""best-kept secret"".",abc,australia,2020-07-06,
The Australian Tax Office's page for lodging tax returns crashes as Australians begin making their claims on the first day of the 2020-21 financial year.,abc,australia,2020-07-06,
Far-right boogaloo groups espousing violence will be treated the same as white nationalist and Islamic State-affiliated terrorist organisations by Facebook.,abc,australia,2020-07-06,
A fully autonomous security vehicle will patrol the perimeter of a Western Australian prison — performing the work of two prison guards.,abc,australia,2020-07-06,
"For city slickers considering a post-coronavirus move to the bush, the advice is to do plenty of research first. But for some ""lifestyle migrants"", the tree change has worked out very well indeed.",abc,australia,2020-07-06,
"India's technology ministry cites ""security of state"" in its order to ban 59 mostly Chinese apps, including TikTok, which analysts say has more than 600 million downloads in the country.",abc,australia,2020-07-06,
A regional doctor has vowed to refurbish a near half-century-old handmade observatory in South Australia's outback.,abc,australia,2020-07-06,
Michelle Sheean is one of nearly half a million low-income Australians who have not signed up to the NBN because it is simply too expensive.,abc,australia,2020-07-06,
The Federal Government wants 500 new positions created in its highly secretive surveillance department as part of a push to fight cyber crime around the world.,abc,australia,2020-07-06,
"Researchers from the University of Southern Queensland have helped NASA discover a new planet the size of Neptune, ""only"" 32 light-years away.",abc,australia,2020-07-06,
"Sick of his internet dropping out, software developer Matt Hall paid to have the NBN to his home upgraded. He didn't realise that he was also paying for his neighbours to get cheap access.",abc,australia,2020-07-06,
More than 160 companies have joined forces to boycott Facebook ads to pressure the social media giant to remove hate speech from its platform. But will it force Facebook to take action?,abc,australia,2020-07-06,
"For Mutitjulu local Max Woods, an electric wheelchair and a machine to help him get out of bed would make a world of difference — but navigating the NDIS poses a challenge.",abc,australia,2020-07-06,
Australia is experiencing a significant rise in cyber attacks that prompted the PM to address the nation. So who are these people? Who is directing them? What are they after? And most important of all — how can they be stopped?,abc,australia,2020-07-06,
"To solve the problems of new technology, you don't just need computer coders, mathematicians and engineers, you need people who've studied ethics, history, politics, and philosophy, and who've trained in critical thinking, writes Gareth Hutchens.",abc,australia,2020-07-06,
"NASA's decade-long mission observing the Sun from an orbiting observatory has produced a time-lapse video of the Sun's outer atmosphere, comprised of 425 million high-resolution images taken every 0.75 seconds.",abc,australia,2020-07-06,
"A resurgence of interest in pinball in Australia has seen middle-aged fans buy up retro machines — some for as much as $20,000 — while teenagers join the ranks of competitive players.",abc,australia,2020-07-06,
Mark Zuckerberg says Facebook plans to label all posts and advertisements about voting with links to accurate information.,abc,australia,2020-07-06,
"If you have inside knowledge of a topic in the news, contact the ABC.",abc,australia,2020-07-06,
"ABC teams share the story behind the story and insights into the making of digital, TV and radio content.",abc,australia,2020-07-06,
Read about our editorial guiding principles and the standards ABC journalists and content makers follow.,abc,australia,2020-07-06,
Learn more,abc,australia,2020-07-06,
"This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced.",abc,australia,2020-07-06,
AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time),abc,australia,2020-07-06,
Can collaborative robots ramp up the production of medical ventilators?,robotics,worlwide,2020-07-06,
Recent work is unveiling the interactions between magnetic microswimmers and cells of the immune system.,robotics,worlwide,2020-07-06,
Uncrewed aerial vehicles can reduce the cost of preventative measures against vector-borne diseases.,robotics,worlwide,2020-07-06,
Biocompatible cell robots powered by urea improve drug delivery through active movement.,robotics,worlwide,2020-07-06,
Morphology-dependent immunogenicity obliges a compromise on the locomotion-focused design of medical microrobots.,robotics,worlwide,2020-07-06,
An automatic adult mosquito release device operated from a drone released sterile males without reducing their quality.,robotics,worlwide,2020-07-06,
The free flight of insects is studied using a lab-on-cables with a reactive controller that minimizes tracking errors.,robotics,worlwide,2020-07-06,
Drug-loaded urease-powered Janus cell robots enhance binding efficiency with biological targets and improve therapeutic efficacy.,robotics,worlwide,2020-07-06,
"ONLINE COVER Lab on Wires. Understanding how insects fly may inspire future developments in micro-aerial robotics. However, studying the free-flight of insects can be challenging due to their high speed of motion and small size. Furthermore, existing approaches to study insect flight can cause the insect to fly unnaturally, thus limiting any insight gained. Pannequin et al. track the free-flight of insects in natural conditions with limited disturbance using a cable robot called ""lab-on-cables."" The cable robot is an open cage mounted with cameras. The cage, attached to cables, moves automatically with the flying insect to track the insect's flight. This month's cover is a photograph of the lab-on-cables. [CREDIT: D. MARTINEZ]",robotics,worlwide,2020-07-06,
Technology has let us down. Here’s how to make it work for us again… and 35 young innovators leading the charge,MIT,USA,2020-07-06,
Purchase or login to download the PDF,MIT,USA,2020-07-06,
America's paralysis reveals a deep and fundamental flaw in how the nation thinks about innovation.,MIT,USA,2020-07-06,
"Meet this year's 35 brilliant young entrepreneurs, inventors, visionaries, humanitarians and pioneers who are working to make the world a better place.",MIT,USA,2020-07-06,
Black Americans have seen technology used to target them again and again. Stopping it means looking at the problem differently.,MIT,USA,2020-07-06,
The Canadian tech hub is selling itself as an antidote to the tech industry’s worst impulses. But what does that entail?,MIT,USA,2020-07-06,
The funding model that made Silicon Valley a global hub excels at creating a certain kind of innovation—but the pandemic has exposed its broader failures.,MIT,USA,2020-07-06,
"Machines were supposed to take over tasks too dangerous for humans. Now humans are the danger, and robots might be the solution.",MIT,USA,2020-07-06,
We asked some previous winners of our 35 Innovators Under 35 award what they’ve learned about innovation since they won.,MIT,USA,2020-07-06,
The Great Depression offers lessons for how to give ordinary people a say in the economic recovery from covid-19.,MIT,USA,2020-07-06,
Over decades the country has progressively defunded the kind of research that made its tech industry great,MIT,USA,2020-07-06,
A short fiction story written with the help of an algorithm,MIT,USA,2020-07-06,
An insight into the way machines make meaning.,MIT,USA,2020-07-06,
"Our needs for long-term solutions are often at odds with the short-term pressure for profits, but sometimes that tension is a good thing.",MIT,USA,2020-07-06,
"The mission of MIT Technology Review is to bring about better-informed and more conscious decisions about technology through authoritative, influential, and trustworthy journalism.",MIT,USA,2020-07-06,
Satellite-Carrying Rocket 'Lost' After New Zealand Launch,gadgets,india,2020-07-06,
OnePlus TV 32Y1 Model Goes on Sale Today at 12 Noon via Amazon India,gadgets,india,2020-07-06,
PM Modi Launches 'Aatmanirbhar Bharat App Innovation Challenge',gadgets,india,2020-07-06,
Horizon Zero Dawn Is Coming to PC on August 7,gadgets,india,2020-07-06,
"PlayStation 5 Teaser Page Goes Live on Amazon India, Flipkart; Launching in 'Late 2020'",gadgets,india,2020-07-06,
ISRO's Mangalyaan Captures Image of Mars' Biggest Moon Phobos,gadgets,india,2020-07-06,
"IITBHF Announces Grant of Rs. 2.35 Crores to Provide Laptops, Broadband to Needy IIT Bombay Students",gadgets,india,2020-07-06,
"Samsung Galaxy M01s Official Support Page Reveals 3GB RAM Variant, May Launch in India Soon",gadgets,india,2020-07-06,
"JPMorgan Drops Terms 'Master,' 'Slave' From Internal Tech Code, Materials",gadgets,india,2020-07-06,
BSNL Revives 4 Percent Instant Discount Offer for Recharging Other People's Prepaid Accounts,gadgets,india,2020-07-06,
OnePlus Nord Teaser Video Offers First Look at the Upcoming Phone,gadgets,india,2020-07-06,
"Spectacles 2, Spectacles 3 by Snapchat Go on Sale in India via Flipkart",gadgets,india,2020-07-06,
Opponents of 5G Networks Set Fire to Cyprus' Mobile Antennae,gadgets,india,2020-07-06,
TikTok Distances From Beijing in Response to India Ban,gadgets,india,2020-07-06,
PUBG Mobile: Teen Reportedly Spent Rs. 16 Lakhs From Parents’ Bank Accounts on Game,gadgets,india,2020-07-06,
"PUBG Mobile Ancient Secret Event Leaked: Mummies, Flying Buildings, and More Inbound",gadgets,india,2020-07-06,
"Lunar Eclipse July 2020: Date, Timings, and How to Watch Live Stream",gadgets,india,2020-07-06,
"World Cricket Championship 3 New Update Brings Career Mode, Dynamic Difficulty, More",gadgets,india,2020-07-06,
"Oppo Reno 4 Pro Indian Variant to Sport Faster Refresh Rate, Tipster Claims",gadgets,india,2020-07-06,
"Morena Baccarin ‘Hopes’ to Be in Deadpool 3, Talks Post-Coronavirus Life and The Twilight Zone",gadgets,india,2020-07-06,
Solar energy researchers at Oregon State University are shining their scientific spotlight on materials with a crystal structure discovered nearly two centuries ago. Not all…,scitechdaily,USA,2020-07-06,
"A new machine learning algorithm allows researchers to explore possible designs for the microstructure of fuel cells and lithium-ion batteries, before running 3D simulations that…",scitechdaily,USA,2020-07-06,
"Phase transitions play an important role in materials. However, in two-dimensional materials, the most famous of which is graphene, phase transitions can be very difficult…",scitechdaily,USA,2020-07-06,
Researchers at Delft University of Technology have developed a sensor that is only 11 atoms in size. The sensor is capable of capturing magnetic waves…,scitechdaily,USA,2020-07-06,
"Research shows how humans can shield machine learning from manipulation. Artificial intelligence and machine learning technologies are poised to supercharge productivity in the knowledge economy,…",scitechdaily,USA,2020-07-06,
"Approximately one third of the 3.8 million female breast cancer survivors in the US today have undergone mastectomy, and as many as three quarters of…",scitechdaily,USA,2020-07-06,
"Trapped Rydberg ions can be the next step towards scaling up quantum computers to sizes where they can be practically usable, a new study in…",scitechdaily,USA,2020-07-06,
"EPFL researchers have developed a high-precision technology that enables them to carve nanometric patterns into two-dimensional materials. With their pioneering nanotechnology, EPFL researchers have achieved…",scitechdaily,USA,2020-07-06,
A novel pretreatment strategy resolves a long-standing issue of silicon anode materials. This solution-based strategy enables simple and safe processing for large-scale production. A team…,scitechdaily,USA,2020-07-06,
‘Intelligent concrete’ could cut down on road repairs and traffic. Roads always seem to need repairs. Luna Lu is giving concrete the ability to “talk”…,scitechdaily,USA,2020-07-06,
SciTechDaily: Home of the best science and technology news since 1998. Keep up with the latest scitech news via email or social media.,scitechdaily,USA,2020-07-06,
"Neptune-sized planet may be remnant core of a much larger planet. The “ice giant” planets Neptune and Uranus are much less dense than rocky, terrestrial…",scitechdaily,USA,2020-07-06,
"The head of the French cybersecurity agency ANSSI said there would not be a total ban on using equipment from Huawei in the rollout of the French 5G telecoms network, but that it was pushing French telcos to avoid switching to the Chinese company.",reuters,USA,2020-07-06,
"China's Huawei has clear conditions to meet for Britain to continue to allow its involvement in the development of 5G telecoms infrastructure, Britain's health minister said on Sunday, after a report that the firm would be banned from the project.",reuters,USA,2020-07-06,
"British Prime Minister Boris Johnson is expected to begin phasing out the use of Chinese tech giant Huawei's technology in Britain's 5G network as soon as this year, The Daily Telegraph reported on Saturday.",reuters,USA,2020-07-06,
"Social media app TikTok distanced itself from Beijing after India banned 59 Chinese apps in the country, according to a correspondence seen by Reuters.",reuters,USA,2020-07-06,
Canada's biggest lenders confirmed on Friday they had joined a widespread boycott of Facebook Inc  begun by U.S. civil rights groups seeking to pressure the world's largest social media platform to take concrete steps to block hate speech.,reuters,USA,2020-07-06,
An augmented reality (AR) mirror at the new Seoul flagship boutique of cosmetics powerhouse Amorepacific makes easy work of seeing if that scarlet shade of lipstick or long-lash mascara suits you - even if you're wearing a face mask.,reuters,USA,2020-07-06,
"Indian tech and entertainment firms are looking to capitalise on sudden opportunities arising from a government ban on Chinese owned apps, including the wildly popular TikTok, with one rival video app saying it had added 22 million users in 48 hours.",reuters,USA,2020-07-06,
"Uber Technologies  launched a ride-hailing smartphone application in Tokyo on Friday in partnership with three domestic taxi firms, even as strict regulations block its popular ride-sharing service in Japan.",reuters,USA,2020-07-06,
"If you've ever bought supermarket sushi, you may know the taste trauma that hit Kazuhiro Shimura one night. But ""disappointing"" tuna sparked an idea: he'd develop an artificial intelligence (AI) system to make sure your sashimi is always delicious.",reuters,USA,2020-07-06,
A group of European digital advertising associations on Friday criticized Apple Inc's  plans to require apps to seek additional permission from users before tracking them across other apps and websites.,reuters,USA,2020-07-06,
"President Donald Trump plans an outdoor rally in New Hampshire on Saturday, the campaign's second of the coronavirus era following one in Tulsa, Oklahoma, last month that failed to draw the crowds his advisers predicted.",reuters,USA,2020-07-06,
"Fukuoka SoftBank Hawks, a Japanese baseball team owned by SoftBank Group, witnessed robots cheering for them during a match instead of their fans. The SoftBank-made 'Pepper' humanoid robots wore team jerseys and cheered from the otherwise empty stands. Due to the coronavirus pandemic, fans aren't allowed to watch the Nippon Professional Baseball league in person until at least July 10. ",inshort,india,2020-07-07,
"Popular Twitch streamer and gamer Byron Bernstein, known as 'Reckful', died by suicide aged 31 on Thursday, hours after he proposed to his ex-girlfriend Rebecca 'Becca' Cho on Twitter. Bernstein built a following of nearly 1 million on Twitch in part by playing World Of Warcraft. Hundreds of fans held virtual memorials inside the game when his death was reported.",inshort,india,2020-07-07,
"Tesla CEO Elon Musk on Sunday said American philosopher and cognitive scientist Noam Chomsky ""sucks"", adding that he is a ""mind virus for fools"". Musk called Chomsky a 'mind virus' in response to a Twitter user's tweet that said, ""Chomsky has uttered insane things about politics for more than five decades.""",inshort,india,2020-07-07,
